1805	3483	11324	1
1806	4505	16113	1
1596	3870	18956	1
1144	4324	19687	1
950	3329	10096	1
1581	2602	14904	1
2203	5304	19434	1
1581	3683	12531	1
940	6286	20993	1
132	6110	20798	1
1334	2500	7656	1
2198	6239	20942	1
56	4467	19711	1
1899	3990	13339	1
425	3685	14999	1
2101	2269	21237	1
596	3469	11548	1
674	3229	9765	1
772	2962	10458	1
976	2509	15458	1
574	4994	18828	1
99	6062	20746	1
1904	6076	20763	1
951	4418	19775	1
285	3871	15670	1
1212	5823	20469	1
840	3733	18725	1
425	2589	14316	1
1715	4872	17746	1
1074	4527	16429	1
1063	5878	20527	1
1081	4027	13598	1
1337	3161	9673	1
134	3990	13339	1
706	3914	13088	1
170	3253	9736	1
1860	4001	13415	1
1447	4527	16882	1
1763	3300	10375	1
1932	4649	16524	1
1205	2411	7293	1
514	3845	15038	1
398	2979	8857	1
392	2509	15458	1
1898	2602	14904	1
356	2589	16139	1
187	4397	15191	1
1131	3660	12611	1
1239	4592	16447	1
1669	6224	20925	1
1086	4067	14175	1
488	2602	14904	1
754	3728	12517	1
2114	2294	6881	1
1187	3713	12601	1
905	3484	11041	1
674	3229	9765	1
772	2962	10458	1
369	5442	19774	1
716	4364	15067	1
1742	4490	15647	1
1428	3590	13259	1
1565	3793	12521	1
1131	4716	16916	1
398	4017	13557	1
292	2484	13319	1
463	2402	14983	1
18	2478	13029	1
687	4853	17667	1
784	4422	15297	1
1628	3629	12562	1
1148	3339	10148	1
2011	3551	11325	1
506	3485	14472	1
1001	2861	8512	1
354	4835	17735	1
548	3296	12741	1
684	2419	7319	1
49	3222	9636	1
536	5467	19859	1
1074	4527	16429	1
1849	2592	8064	1
1055	3942	19022	1
231	3792	12582	1
2049	2509	7732	1
1934	6199	20897	1
730	4218	16770	1
2021	4086	15368	1
1346	2279	7877	1
304	4358	14954	1
369	2592	14457	1
1499	3761	13143	1
1027	4733	19742	1
1818	5467	19859	1
1783	2963	9425	1
1159	3782	15942	1
1818	4164	14148	1
247	4771	17188	1
446	2275	11236	1
792	3295	9933	1
2189	2509	7732	1
1302	3368	10339	1
1157	2275	7397	1
588	4643	16501	1
2088	4008	13479	1
1669	6224	20925	1
1536	6318	21030	1
1286	4811	17508	1
1267	5455	19817	1
960	4846	17675	1
1599	3511	13862	1
1935	4487	15623	1
635	2275	11219	1
1520	3285	9888	1
878	3884	13021	1
2243	4243	19629	1
987	3182	16510	1
285	5208	19268	1
1279	4017	14137	1
1866	3421	10651	1
1446	3485	15930	1
812	2285	8177	1
1762	4218	16322	1
817	4243	15181	1
2006	4791	17392	1
1950	5086	19035	1
606	3515	13384	1
1387	6600	21368	1
887	3182	16214	1
398	4001	13415	1
